,names,stars,reviews,polarity,subjectivity,Pol_Analysis,stars_analysis
0,Nzan Vin Ngullie,5.0 out of 5 stars,Kindly note this is JBL flip 3 Se (Stealth Edition) and not the JBL 3.,0.6,0.9,Positive,Satisfied
1,AMIT SINGH CHAUHAN,5.0 out of 5 stars,Wow sound,0.25,0.7,Positive,Satisfied
2,Amazon Customer,5.0 out of 5 stars,Looks like an original product!,0.46875,0.75,Positive,Satisfied
3,vipendra khanal,1.0 out of 5 stars,Totally not satisfied with Amazon services - can't return even if says 10 days returnable,-0.25,1.0,Negative,Not_Satisfied
4,AMAZON_PRIME_MEMBER,1.0 out of 5 stars,Very disappointed with Amazon Service!,-1.0,0.9750000000000001,Negative,Not_Satisfied
5,Delton Dcunha,5.0 out of 5 stars,Absolutely 5star,0.2,0.9,Positive,Satisfied
6,Nikhil john,5.0 out of 5 stars,Product Is Gud.But.....,0.0,0.0,Nutral,Satisfied
7,ProfessorAb,4.0 out of 5 stars,Nice portable Bluetooth speaker without mic,0.6,1.0,Positive,Satisfied
8,Raj Bhardwaj,1.0 out of 5 stars,Totally fake trust.,-0.5,1.0,Negative,Not_Satisfied
9,vijay,5.0 out of 5 stars,Great sound with Good bass,0.4375,0.5625,Positive,Satisfied
10,Nitesh maurya,5.0 out of 5 stars,Good product in decent price,0.4333333333333333,0.6333333333333333,Positive,Satisfied
11,Nimesh Priyodit,5.0 out of 5 stars,Happy at first day,0.525,0.6666666666666666,Positive,Satisfied
12,Yogen,5.0 out of 5 stars,Best Genuine Product @ best deal price,0.7999999999999999,0.3666666666666667,Positive,Satisfied
13,anonymous_buyer,1.0 out of 5 stars,Cannot connect with iOS or Android apps to configure - garbage!,0.0,0.0,Nutral,Not_Satisfied
14,Dheeraj Kohli,2.0 out of 5 stars,JBL Connect Flip 3 SE,0.0,0.0,Nutral,Not_Satisfied
15,krishna teja,4.0 out of 5 stars,"Go ahead, if JBL connect is not a priority!! Forget the rest.",0.0,0.0,Nutral,Satisfied
16,harsh,4.0 out of 5 stars,Great for the most part.,0.65,0.625,Positive,Satisfied
17,rajeev singh,5.0 out of 5 stars,Very very good Bluetooth speaker,0.9099999999999999,0.7800000000000001,Positive,Satisfied
18,Niranjan  Singh Rathore,1.0 out of 5 stars,Need replacements for this as it has stopped working.,0.0,0.0,Nutral,Not_Satisfied
19,kunal,5.0 out of 5 stars,It's a best bluetooth speaker. go for it.,1.0,0.3,Positive,Satisfied
20,Pratik,1.0 out of 5 stars,No good,-0.35,0.6000000000000001,Negative,Not_Satisfied
